"date","age_group_start","total_population","ratio","viz"
"2022","0","22,239,327","8.07","93.38"
"2022","5","23,389,763","8.49","98.21"
"2022","10","23,815,118","8.64","100"
"2022","15","22,463,186","8.15","94.32"
"2022","20","21,857,237","7.93","91.78"
"2022","25","21,345,947","7.75","89.63"
"2022","30","20,636,605","7.49","86.65"
"2022","35","20,710,403","7.52","86.96"
"2022","40","20,158,724","7.32","84.65"
"2022","45","18,414,157","6.68","77.32"
"2022","50","16,487,164","5.98","69.23"
"2022","55","14,064,735","5.11","59.06"
"2022","60","11,027,398","4.00","46.3"
"2022","65","7,794,382","2.83","32.73"
"2022","70","5,032,571","1.83","21.13"
"2022","75","3,326,726","1.21","13.97"
"2022","80","2,737,906","0.99","11.5"
